ID,Name_lang
1,Enclume
2,Métier à tisser
3,Forge
4,Feu de cuisine
5,Fragments de Myzrael
6,Puits Sabot-d’Hiver
7,Puits Corne-tonnerre
8,Puits Crin-Sauvage
9,Feu tribal
10,Atelier des machines
11,Puits de lune de Sombrevallon
12,Puits de lune de Brise-Stellaire
13,Réserves du Puits de lune d'Arlithrien
14,Puits de lune de la clairière de l’Oracle
15,Aéroport de la KapitalRisk
16,Wagon (bleu) de la KapitalRisk
17,Wagon (rouge) de la KapitalRisk
18,Explosifs NG-5 (rouges)
19,Explosifs NG-5 (bleus)
20,Flamme d'Uzel
21,Puits de lune d’Orneval
22,Autel dégradé par la mer
23,Réseaux souterrains proches
43,Cercle d’invocation de Fossoyeuse
63,Autel du Chaman
83,Cercle d’invocation de Hurlevent
103,Cercle d’invocation des Tarides
123,Cascade du Lac Miroir
143,L'antre des Serres
163,Cascade de Xavian
164,Pierre de Lien extérieure
183,Troubles dans la faille de mana
203,Cercle d’invocation d’Orgrimmar
223,Fontaine des Irécailles
224,Point d’eau des hurans
225,Eau pure - Pins argentés
226,Puits de printemps
243,Fontaine du temple de la Lune
263,Autel de Jintha'Alor
264,Sentine du bateau pirate
283,Monolithe d'Equinex
303,Village Fanécorce
304,Autel de Shadra'Alor
323,Mare du Guet de Tristesable
343,Pierres de Serrehaine
363,Repaire d'Echeyakee
383,L'Arbre mort
403,Hélistation de fortune
423,Cercle d'Aquementas
424,Sanctuaire du dieu déchu
443,la première Cuvette de marée
444,la seconde Cuvette de marée
445,la troisième Cuvette de marée
446,la quatrième Cuvette de marée
463,Couvoir de la ruche de Gorishi
483,Miblon Grondequenotte
503,Cimetière de Gadgetzan
523,Les ruines du bois d'Arbrefer
543,Forge noire
563,Cratère de Golakka
583,Tombeau des Sept
603,Plateau d'Un'Goro
604,Carcasse préservée de Battrodon
623,Enclume noire
643,Cristal de silithide Gorishi
644,Puits de lune corrompu
663,Laboratoire d'alchimie
683,Sceau d'ascension brut
703,Puits de lune d'Auberdine
704,Bûcher nord des Furbolgs noirbois
705,Chutes de la Bondissante
723,Point chaud de la crête de la Fournaise
743,Autel des offrandes d'Urok
763,Faille temporelle du silo d'Andorhal
783,Pierre de Shy-Rotam
803,Feu de vie sacré
804,Camp avancé de la Croisade écarlate
805,Tour d'Andorhal
823,Chambre des visions de la Scholomance
843,le Puits de lune corrompu de Jaedenar
863,Ami d'Umi
883,Puits de lune
903,Lac de lave de la crête de la Fournaise
923,la caisse au centre du Camp de bûcherons de la Crête du nord
943,Pierre des séléniens
944,Place centrale de la ville de Comté-de-Darrow
963,Rayon de lumière brillant
983,Marque de détonation
1003,Entrée de la caverne des Chutes de la Bondissante
1004,Etang du Pic de Brume-funeste
1023,Les Goliaths morts
1043,Sanctuaire de Remulos
1063,Monticule du totem Vile-sylve
1083,Bassin redoutable
1103,Portail de Maraudon
1123,Globe d'observation de la Horde
1143,Cratère oriental
1144,Cratère occidental
1145,Cimetière central
1163,Globe d'observation de l'Alliance
1164,Cour de la base principale de l'Alliance
1165,Cour de la base principale de la Horde
1183,Cimetière contesté
1184,Cratère Est
1185,Cratère Ouest
1203,Bassin de cristal orange
1223,Souffle de flammes d'Onyxia
1243,Restes de Kroshius
1263,Piédestal d'Immol'thar
1264,Cercle d'invocation ténébreuse
1283,Le Grand ossuaire
1284,Esprit malin de Val-Terreur
1303,Centre-ville de Nid-de-l'Aigle
1323,Statue du tombeau d'Uther
1324,Monument de Grom
1343,Pointe de Pagle
1344,Autel de Zanza
1345,Austrivage
1346,Ossements de Grakkarond
1347,Boule puante des Réprouvés
1348,Point de l'échange
1349,Maelström tourbillonnant
1350,Caverne de Grolnar
1351,Lanceur de feux d'artifice
1352,Lanceur de chapelets
1353,Lumière lunaire supérieure
1354,Chambre de Voone
1355,Chambre d'Alzzin
1356,Trône cramoisi
1357,Chambre de Ras Murmegivre
1358,Salle de la Bête
1359,Lieu hanté
1360,Arène des profondeurs de Rochenoire
1361,[PH] Cadavre de Cristal
1362,Enclume de souffleglace
1363,Pierre runique des Chants éternels
1364,Terre consacrée
1365,Feu de joie du solstice
1366,Mât du solstice d'été
1367,Autel d'Aggonar
1368,Ossements d'Aggonar
1369,Banc de lutjans rouges
1370,Cadavre de Krun Brise-échine
1371,Puits de lune de Thalanaar
1372,Panneau de contrôle du robotron
1373,Autel de Naïas
1374,Endroit discret
1375,Rune d'invocation
1376,Brasero gangrené
1377,votre présence dans la crique du traître pendant que le drapeau naga est dressé.
1378,Cadavre de Sedai
1379,Monument de Nazzivus
1380,Cristal du site de l'impact
1381,Cristal de Brume-Sang altéré
1382,Cristal axxarien
1383,le bord sud de la terrasse du Maître
1384,Téléscope de Medivh
1385,Flamme éternelle de la chapelle d'Alonsus
1386,Cascade de Brume-Sang
1387,Commandes de pompe à vapeur
1388,Hutte Ventejonc
1389,Marque terrestre
1390,Source d'eau souterraine
1391,Escalier des ruines de Boha'mu
1392,Rocher Tourbedague
1393,Bûcher de la Lame-Ardente dans les ruines de la Lame-Ardente.
1394,Balcon d'Ysiel
1395,Bûcher ardent des Cogneguerre
1396,Totem du Voile Shalas
1397,Squelette piétiné
1398,Canon de l'Alliance
1399,Lance-lames de la Horde
1400,Antenne de la Légion
1401,Pierre runique du Bosquet incendié
1402,Bibliothèque
1403,Râtelier d’armes
1404,Penderie
1405,Cantine
1406,Tour de siège de l'Alliance en ruine
1407,Panneau de contrôle du docteur Vomisa
1408,Rune de Kirin'Var
1409,Orbe de l'archimage Vargoth
1410,Chutes de l'Elrendar
1411,Squelette de dragon
1412,Plate-forme de téléportation éthérienne
1413,Brasero d'Arklon
1414,Pierre de vide
1415,Conduite de la manaforge B'naar
1416,Bannière draeneï
1417,Cercle de la lieuse de terre
1418,Conducteur de puissance de Salhadaar
1419,Téléporteur de Socrethar
1420,Générateur de l'écodôme Sudron
1421,de vous rapprocher de la manaforge Ultris
1422,Tour Nord-sanglante
1423,Autel des Ombres
1424,Nœud de tubercule d'Ombrelune
1425,Rokgah Poigne-sang
1426,Métier à tisser le mana
1427,Autel draeneï antique
1428,Bâtiment ogre
1429,Cercle arakkoa des Tranchantes
1430,Cercle magique lashh'an
1431,Cercle de puissance vekh'nir
1432,votre présence au bout du pont.
1433,La Plaie de Torgos
1434,Cercle magique vekh'nir
1435,votre présence à côté de Gul’dan à l'Autel de la damnation.
1436,Téléporteur du bastion de la Légion
1437,Cercle d'oracle Ruuan'ok
1438,Système de communication de la Légion
1439,Contremaître Razelcraz
1440,Portail au lac des furoles
